店舗名,町名,電話番号,取り扱い商品・サービス,大型店
田むら製菓,高砂町,027-322-3908,菓子・パン,
だんべえ総本舗 風間堂,新田町,027-326-7811,菓子・パン,
茶フェ ちゃきち,八島町,027-335-6784,菓子・パン,モントレー
丁子堂房右衛門 片岡店,片岡町,027-324-3301,菓子・パン,
丁子堂房右衛門 倉賀野店,倉賀野町,027-346-2321,菓子・パン,
角田製菓,大沢町,027-353-6006,菓子・パン,
角田製菓 インター店,西島町,027-352-2141,菓子・パン,
とみや菓子店,新町,0274-42-1428,菓子・パン,
トラットリアフォルツア 高崎店,下小鳥町,0263-87-7680,菓子・パン,
トリアノン とりせん群馬町店,中泉町,027-372-8130,菓子・パン,
トリアノン とりせん菅谷店,菅谷町,027-372-6680,菓子・パン,
トレフル 観味堂,井野町,027-362-7208,菓子・パン,
ドンレミーアウトレット 高崎店,東町,027-310-3828,菓子・パン,
NATAS natas,大八木町,027-364-1515,菓子・パン,
日本一,本町,027-322-3029,菓子・パン,
ねぼけ堂,八島町,027-381-5532,菓子・パン,イーサイト
農家のお菓子屋さん nouka,片岡町,080-4416-0548,菓子・パン,
鉢の木,赤坂町,027-322-6001,菓子・パン,
パティスリー ララスウィーツ,飯塚町,027-362-9966,菓子・パン,
Patisserie Le toi,日高町,050-8884-6616,菓子・パン,
パティスリーアルエリテ,末広町,027-329-5233,菓子・パン,
パティスリージェノワーズ,箕郷町上芝,027-371-8896,菓子・パン,
パティスリーリアン,八島町,027-310-2545,菓子・パン,イーサイト
HONEY,西横手町,027-329-5693,菓子・パン,
ハニーラバープレミアムストア,八島町,027-388-8710,菓子・パン,イーサイト
パリジャン,吉井町矢田,027-387-6753,菓子・パン,
はるなベーカリー,箕郷町生原,027-371-9044,菓子・パン,
パン工房 シエル,矢中町,027-360-5531,菓子・パン,
パン工房 DEKO,東貝沢町,027-365-5639,菓子・パン,
パン工房 リヨン つむぎ,小八木町,027-393-6561,菓子・パン,
パン小麦工房 櫻,下小鳥町,027-365-5289,菓子・パン,
ＨＡＮＪYＵＫＵ－ＹＡ 半熟屋,八島町,027-395-0350,菓子・パン,イーサイト
パンとベーグルのお店 小梅のしっぽ,中泉町,027-388-1068,菓子・パン,
ビアード・パパの作り立て工房,棟高町,027-372-9510,菓子・パン,イオンモール
ピッコリーノ,山名町,,菓子・パン,
プラリネ 倉賀野店,倉賀野町,027-346-0099,菓子・パン,
プラリネ 小鳥店,下小鳥町,027-363-8258,菓子・パン,
プラリネ 箕郷店,箕郷町上芝,027-371-3002,菓子・パン,
プラリネ スズラン高崎店,鞘町,,菓子・パン,スズラン高崎
ブランシール高崎店,筑縄町,,菓子・パン,
ブランジェリーMomopan,江木町,027-324-5088,菓子・パン,
FLO PRESTIGE PARIS,棟高町,027-381-5410,菓子・パン,イオンモール
BAKER/S,末広町,027-395-5413,菓子・パン,
ぺこり,中尾町,027-377-5960,菓子・パン,
ベッカライ小屋 でいたらぼっち,柴崎町,027-353-2653,菓子・パン,
芳房堂,貝沢町,027-361-4170,菓子・パン,
まじヤバくない？,飯塚町,027-381-8027,菓子・パン,
まちかどベーカリー,福島町,027-386-9522,菓子・パン,
マルフクランチマーケット,下小鳥町,027-393-6744,菓子・パン,
微笑庵,剣崎町,027-343-3026,菓子・パン,
みすず屋,飯玉町,027-362-2523,菓子・パン,
Mini One,八島町,027-393-6669,菓子・パン,イーサイト
三山製菓,新町,0274-42-1632,菓子・パン,
ミリオン洋菓子店,倉賀野町,027-320-2686,菓子・パン,
みるく工房タンポポ 群馬八幡駅前店,剣崎町,027-343-0505,菓子・パン,
無添加パン まな,北原町,027-372-8051,菓子・パン,
モグのパン,東貝沢町,027-364-3535,菓子・パン,
ももみ堂 高崎店,棟高町,027-373-8686,菓子・パン,
夢づくり菓子づくり 六郎,貝沢町,027-363-1480,菓子・パン,
夢添加パンまる,飯塚町,027-362-337,菓子・パン,
ライネ,南町,027-321-5677,菓子・パン,
ラメーゾン,田町,027-326-2000,菓子・パン,
リュパン,綿貫町,,菓子・パン,
ル・ポンポネット,問屋町西,027-362-5441,菓子・パン,
Le Calin du Coeur,日光町,080-2675-2497,菓子・パン,
Regalo×Regale,下里見町,027-384-8892,菓子・パン,
石川石油,箕郷町上芝,027-371-2380,ガソリンスタンド,
大山石油店,浜川町,027-343-6887,ガソリンスタンド,
黒岩商店,上里見町,027-374-0018,ガソリンスタンド,
"群馬自動車燃料販売 大八木サービスステーショ
ン",大八木町,027-362-3143,ガソリンスタンド,
"群馬自動車燃料販売 北高崎サービスステーショ
ン",上並榎町,027-361-8060,ガソリンスタンド,
"群馬自動車燃料販売 京ヶ島通りサービスステー
ション",西島町,027-352-3148,ガソリンスタンド,
群馬自動車燃料販売 セルフ高崎飯塚,飯塚町,027-362-5541,ガソリンスタンド,
"群馬自動車燃料販売 高崎駅東口サービスス
テーション",岩押町,027-326-2312,ガソリンスタンド,
"群馬自動車燃料販売 高前バイパスサービスス
テーション",中尾町,027-251-0681,ガソリンスタンド,
"群馬自動車燃料販売 倉賀野バイパスサービス
ステーション",倉賀野町,027-346-1369,ガソリンスタンド,
宏和,足門町,027-373-0276,ガソリンスタンド,
神宮燃料,吉井町片山,027-387-3450,ガソリンスタンド,
新日本興産 高崎給油所,島野町,027-352-9988,ガソリンスタンド,
新日本興産 箕郷給油所,箕郷町上芝,027-371-4898,ガソリンスタンド,
鈴木燃料 ENEOS吉井町ＳＳ,吉井町吉井,027-387-3177,ガソリンスタンド,
芹沢石油,本郷町,027-343-6072,ガソリンスタンド,
松下石油,高浜町,027-343-0144,ガソリンスタンド,
万寿屋 山名中央ガソリンスタンド,山名町,027-346-1600,ガソリンスタンド,
万寿屋箕郷灯油販売所,箕郷町上芝,080-3595-7023,ガソリンスタンド,
三木燃料店,倉渕町権田,027-378-2065,ガソリンスタンド,
三山石油群馬町エスエス,稲荷台町,027-373-1412,ガソリンスタンド,
ヨコタ,柴崎町,027-350-7878,ガソリンスタンド,
アイシステム機器販売,芝塚町,027-323-0861,家電・携帯電話・パソコン,
IT.F,上並榎町,027-370-8411,家電・携帯電話・パソコン,
青木電機,乗附町,027-325-1254,家電・携帯電話・パソコン,
イイジマデンキ,下室田町,027-374-0210,家電・携帯電話・パソコン,
今井電機,中豊岡町,027-326-2069,家電・携帯電話・パソコン,
ウエマツデンキ,下小鳥町,027-361-4491,家電・携帯電話・パソコン,
ａuショップ群馬県央,金古町,027-350-3377,家電・携帯電話・パソコン,
大野電器,新町,0274-42-0340,家電・携帯電話・パソコン,
オニガタ,八千代町,027-326-3028,家電・携帯電話・パソコン,
カトウ電気サービス,神戸町,027-374-2397,家電・携帯電話・パソコン,
木村電気商会,吉井町吉井川,027-387-3256,家電・携帯電話・パソコン,
黒崎電機商会,末広町,027-324-0958,家電・携帯電話・パソコン,
ケーズデンキ 高崎店,矢中町,027-384-2350,家電・携帯電話・パソコン,
コジマ×ビックカメラ イオンモール高崎店,棟高町,027-373-5252,家電・携帯電話・パソコン,イオンモール
コジマ×ビックカメラ 高崎店,緑町,027-370-8111,家電・携帯電話・パソコン,
小山電機 高崎店,西横手町,027-352-1490,家電・携帯電話・パソコン,
コロナ電機,並榎町,027-361-5551,家電・携帯電話・パソコン,
齋藤電気商会,金井淵町,027-343-4742,家電・携帯電話・パソコン,
サウンド・エコー,連雀町,027-322-6500,家電・携帯電話・パソコン,
坂庭商会,浜川町,027-361-7421,家電・携帯電話・パソコン,
佐藤電気商会,箕郷町西明屋,027-371-2301,家電・携帯電話・パソコン,
シーエスアイティー,小八木町,027-373-7001,家電・携帯電話・パソコン,
島津電気商会,浜尻町,027-363-2976,家電・携帯電話・パソコン,
清水電器,下大島町,027-344-0722,家電・携帯電話・パソコン,
清水増,問屋町,027-362-3035,家電・携帯電話・パソコン,
じゃんぱら高崎モントレー店,八島町,,家電・携帯電話・パソコン,
スズキデンキ,吉井町馬庭,027-388-4864,家電・携帯電話・パソコン,
スマホ修理工房,八島町,050-5228-0226,家電・携帯電話・パソコン,OPA
スマホスピタル／Office TAKASAKI BASE,八島町,080-8476-0883,家電・携帯電話・パソコン,イーサイト
ダ・カーポ高崎店,江木町,027-310-5630,家電・携帯電話・パソコン,
ダ・カーポ本店,足門町,027-372-1671,家電・携帯電話・パソコン,
ダイイチストア,田町,027-322-5873,家電・携帯電話・パソコン,
武井電気商会,昭和町,027-323-2861,家電・携帯電話・パソコン,
鶴見電器,上大類町,027-325-3410,家電・携帯電話・パソコン,
でんきの修理やさん 浜川店 コバデン,浜川町,027-343-1078,家電・携帯電話・パソコン,
デンキのハラダ,倉渕町岩氷,027-378-2139,家電・携帯電話・パソコン,
でんきのヤマグチ,倉賀野町,027-347-0892,家電・携帯電話・パソコン,
ドコモショップ イオンモール高崎店,棟高町,027-310-0631,家電・携帯電話・パソコン,イオンモール
ドコモショップ 高崎北店,問屋町,0120-068-360,家電・携帯電話・パソコン,
ドコモショップ 高崎東店,高関町,027-327-6900,家電・携帯電話・パソコン,
ドコモショップ 吉井店,吉井町池,027-320-3737,家電・携帯電話・パソコン,
中島電気,新町,0274-42-3609,家電・携帯電話・パソコン,
中曽根電気,下里見町,027-343-3836,家電・携帯電話・パソコン,
ナカデン,飯塚町,027-361-1610,家電・携帯電話・パソコン,
ビックカメラ 高崎東口店,栄町,027-327-2111,家電・携帯電話・パソコン,
フジイ電機,菅谷町,027-373-3023,家電・携帯電話・パソコン,
マツダ電気,足門町,027-373-4844,家電・携帯電話・パソコン,
マトウデンキ,中島町,027-352-2534,家電・携帯電話・パソコン,
ミナミ電気商会,南町,027-323-0125,家電・携帯電話・パソコン,
モリタデンキ,吉井町岩崎,027-388-3052,家電・携帯電話・パソコン,
山岸電気,京目町,027-352-8509,家電・携帯電話・パソコン,
YAMADA web.com 高崎問屋町店,緑町,027-386-3532,家電・携帯電話・パソコン,
ヤマダアウトレット高崎店,上中居町,027-386-6416,家電・携帯電話・パソコン,
ヤマダ電機 テックランド高崎北菅谷店,菅谷町,027-393-6222,家電・携帯電話・パソコン,
ヤマダ電機 LABI1 LIFE SELECT高崎,栄町,027-345-8811,家電・携帯電話・パソコン,
ホーム家電サービス,箕郷町生原,027-371-5222,家電・携帯電話・パソコン,
ヨシイ家電サービス,上中居町,027-326-4928,家電・携帯電話・パソコン,
リサイクルの再楽館 高崎本店,飯塚町,027-370-0581,家電・携帯電話・パソコン,
レッツクロサキ,中居町,027-353-0030,家電・携帯電話・パソコン,
和田電器,並榎町,027-322-8112,家電・携帯電話・パソコン,
ASBee（モール3階）,棟高町,027-310-9146,靴,イオンモール
ASBee KIDS,棟高町,027-384-3286,靴,イオンモール
アルカヤワークス,上大類町,027-388-0247,靴,
内山靴店,新町,090-4547-3354,靴,
ABCマート,八島町,027-310-1313,靴,モントレー
ABC－MART SPORTS,棟高町,027-395-5197,靴,イオンモール
ＡＢＣマート/ＡＢＣマートスポーツ,八島町,027-393-6492,靴,OPA
靴の店マミイ,上里見町,027-374-1803,靴,
クルール,中紺屋町,027-327-0112,靴,
ｃｌｏｖｅｒｌｅａｆ,棟高町,027-310-9179,靴,イオンモール
サンリペア,矢中町,027-346-7710,靴,
CNS,棟高町,027-386-5391,靴,イオンモール
shoes shop 木屋新,中紺屋町,027-322-2837,靴,
シューマート 高崎飯塚店,飯塚町,027-370-3115,靴,
シューマート 高崎上中居店,上中居町,027-320-8306,靴,
ダイアナ,八島町,027-384-8008,靴,モントレー
ドクターマーチン,八島町,027-388-1441,靴,OPA
楽歩堂,緑町,027-364-6414,靴,
愛幸,倉賀野町,027-346-4074,クリーニング・清掃業,
おそうじ本舗群馬八幡駅前店,萩原町,,クリーニング・清掃業,
角藤屋米穀店,新町,0274-42-.0271,クリーニング・清掃業,
環境リブテック,倉渕町三ノ倉,027-378-2569,クリーニング・清掃業,
着物クリーニングまるやま,矢中町,027-346-8486,クリーニング・清掃業,
くらこことっと,小八木町,070-3998-5586,クリーニング・清掃業,
クリアライフカンパニー,吉井町片山,027-386-0390,クリーニング・清掃業,
クリーニング イチゴミルク 剣崎店,剣崎町,027-343-8703,クリーニング・清掃業,
クリーニング ニュータカラ 本店,井野町,027-363-1342,クリーニング・清掃業,
クリーニング工房ホワイト,新町,0274-42-0609,クリーニング・清掃業,
クリーニング小山 石原店,石原町,070-5460-0274,クリーニング・清掃業,
クリーニング小山 駅前店,栄町,027-325-2847,クリーニング・清掃業,
クリーニング小山 京目店,京目町,027-353-3772,クリーニング・清掃業,
クリーニング小山 ベルク江木店,江木町,027-321-0462,クリーニング・清掃業,
クリーニング小山 本店,飯塚町,027-361-1520,クリーニング・清掃業,
クリーニング小山 ヤオコー店,井野町,027-363-0697,クリーニング・清掃業,
クリーニング小山 リブポーター上中居店,上中居町,027-386-8228,クリーニング・清掃業,
クリーニングのタダキ,井野町,027-361-6043,クリーニング・清掃業,
クリーニングホシノ 井野店,井野町,027-388-1712,クリーニング・清掃業,
クリーニングホシノ 江木店,江木町,027-310-5322,クリーニング・清掃業,
クリーニングホシノ 倉賀野店,倉賀野町,027-395-0140,クリーニング・清掃業,
クリーニングホシノ 新町店,新町,0274-42-7128,クリーニング・清掃業,
クリーニングホシノ 中泉店,中泉町,027-372-9008,クリーニング・清掃業,
クリーニングホシノ 日光町店,日光町,027-381-6016,クリーニング・清掃業,
クリーニングホシノ 上並榎店,上並榎町,027-381-6643,クリーニング・清掃業,
クリーニングホシノ 連雀町店,連雀町,027-388-0171,クリーニング・清掃業,
クリンシア,綿貫町,027-384-2815,クリーニング・清掃業,
コグレドライ,倉渕町三ノ倉,027-378-2419,クリーニング・清掃業,
